[2026-01-15 11:08:45,562] INFO in logger: Logger initialized
[2026-01-15 11:08:46,185] INFO in logger: Logger initialized
[2026-01-15 11:09:06,869] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 11:09:06,957] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 11:09:06,959] INFO in server: Request: GET /source/styles/bgvideo.css from 172.19.0.1
[2026-01-15 11:09:06,963] INFO in server: Request: GET /source/images/vr.png from 172.19.0.1
[2026-01-15 11:09:06,965] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 11:09:06,966] INFO in server: Request: GET /source/images/cpu.png from 172.19.0.1
[2026-01-15 11:09:06,969] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 11:09:06,973] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 11:09:06,976] INFO in server: Request: GET /source/images/controller.png from 172.19.0.1
[2026-01-15 11:09:06,977] INFO in server: Request: GET /source/files/bgvideo.mp4 from 172.19.0.1
[2026-01-15 11:09:06,979] INFO in server: Request: GET /source/images/acc.png from 172.19.0.1
[2026-01-15 11:09:06,980] INFO in server: Request: GET /source/images/gaming pc.png from 172.19.0.1
[2026-01-15 11:09:06,986] INFO in server: Request: GET /source/images/gpu.png from 172.19.0.1
[2026-01-15 11:09:06,987] INFO in server: Request: GET /source/files/phone.png from 172.19.0.1
[2026-01-15 11:09:06,989] INFO in server: Request: GET /source/images/laptop.png from 172.19.0.1
[2026-01-15 11:09:06,992] INFO in server: Request: GET /source/images/other.png from 172.19.0.1
[2026-01-15 11:09:08,323] INFO in server: Request: GET /pricing from 172.19.0.1
[2026-01-15 11:09:08,381] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 11:09:08,385] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 11:09:08,386] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
[2026-01-15 11:09:08,388] INFO in server: Request: GET /source/files/tg.png from 172.19.0.1
[2026-01-15 11:09:08,391] INFO in server: Request: GET /source/images/laptop.png from 172.19.0.1
[2026-01-15 11:09:08,391] INFO in server: Request: GET /source/images/gaming pc.png from 172.19.0.1
[2026-01-15 11:09:08,396] INFO in server: Request: GET /source/images/vr.png from 172.19.0.1
[2026-01-15 11:09:08,398] INFO in server: Request: GET /source/images/acc.png from 172.19.0.1
[2026-01-15 11:09:08,401] INFO in server: Request: GET /source/images/controller.png from 172.19.0.1
[2026-01-15 11:09:08,403] INFO in server: Request: GET /source/images/gpu.png from 172.19.0.1
[2026-01-15 11:09:08,406] INFO in server: Request: GET /source/images/other.png from 172.19.0.1
[2026-01-15 11:09:08,407] INFO in server: Request: GET /source/images/cpu.png from 172.19.0.1
[2026-01-15 11:09:08,410] INFO in server: Request: GET /source/files/phone.png from 172.19.0.1
[2026-01-15 11:09:09,258] INFO in server: Request: GET /home from 172.19.0.1
[2026-01-15 11:09:09,317] INFO in server: Request: GET /source/styles/mycss.css from 172.19.0.1
[2026-01-15 11:09:09,320] INFO in server: Request: GET /source/files/logo.jpg from 172.19.0.1
[2026-01-15 11:09:09,323] INFO in server: Request: GET /source/files/yt.png from 172.19.0.1
